klusteri;x;y;x_noise;variable
1;0;-0.7098138624683393;0.018387721042729364;Income
1;0;-0.6771744124927237;0.03656220697110124;Kidhome
1;0;0.149056393975478;-0.04153800266275562;Teenhome
2;0;-0.279838107342608;-0.019605116951491357;Income
2;0;-0.4132999618678989;0.07791477364450061;Kidhome
2;0;-0.03225383208464578;-0.0006886210788104347;Teenhome
3;0;0.1822695330313248;0.02775837277618998;Income
3;0;0.35517783320935975;0.0004749470873031394;Kidhome
3;0;-0.8247351627819262;0.004905656321235367;Teenhome
4;0;0.7757143682732731;-0.011343044400441787;Income
4;0;0.724203801870711;-0.044320459129566;Kidhome
4;0;0.42617784307925843;-0.017186244348404007;Teenhome
5;0;0.7513353263526016;0.0051551594633905545;Income
5;0;0.7013658884674644;-0.015182768270998112;Kidhome
5;0;0.13393540441929186;-0.01894926496594592;Teenhome
6;0;1.2721160411753392;-0.021908000205638024;Income
6;0;0.7309142781830668;0.05311801787979208;Kidhome
6;0;0.7527383403411139;0.004407032781748078;Teenhome
1;1;0.7899944011259442;0.9651924980170081;MntWines
1;1;-0.5377707878178638;0.9903066121763989;MntFruits
2;1;0.40097115104948006;0.9833324510057161;MntWines
2;1;-0.053106490550068185;0.9772608125361059;MntFruits
3;1;-0.3856054145880176;0.9810580674901804;MntWines
3;1;-0.20579813936977556;1.0065808892404635;MntFruits
4;1;-0.5324465900657323;0.9721173362374262;MntWines
4;1;1.1464738149413616;1.0204149438284624;MntFruits
5;1;-1.7672856723165609;1.017810693382463;MntWines
5;1;-0.0838828825086166;0.9711698403560044;MntFruits
6;1;-1.4550996895509234;0.9943824486667802;MntWines
6;1;0.8607084080939235;0.9692884468944329;MntFruits
1;2;-0.03465597939987484;1.976555311417135;Education_78
2;2;-0.27928358286596505;2.022482500741259;Education_78
3;2;0.14935033531538275;1.9805892532366995;Education_78
4;2;-0.10881779782458939;1.9708512061099017;Education_78
5;2;-0.012220519634476531;1.9818155957771173;Education_78
6;2;-0.0013753190971571723;1.946237587160543;Education_78
1;3;-0.1572336537593008;2.9827487767567757;NumDealsPurchases
1;3;-0.7274974750517301;2.991376765476132;NumWebPurchases
1;3;-0.7314970178204555;3.0371462611685156;NumCatalogPurchases
1;3;-0.8142352748426379;2.9678026552361914;NumStorePurchases
1;3;0.48781193656417465;2.977360813807979;NumWebVisitsMonth
2;3;0.0043137523579414045;3.029400024318643;NumDealsPurchases
2;3;-0.16765949536528416;3.0180305949425597;NumWebPurchases
2;3;-0.2102465131148322;3.0360399160516995;NumCatalogPurchases
2;3;-0.16985964837207904;3.0020644383606063;NumStorePurchases
2;3;0.20320897093387533;2.959452960346785;NumWebVisitsMonth
3;3;0.7761858610181787;3.0292037405485477;NumDealsPurchases
3;3;0.740189018127354;3.0086783704793545;NumWebPurchases
3;3;0.0714670171671024;3.0437199995740336;NumCatalogPurchases
3;3;0.5062030445932708;3.0505759843798352;NumStorePurchases
3;3;0.2051008061852608;2.988888486873635;NumWebVisitsMonth
4;3;-0.36770914602906973;2.9968287690726823;NumDealsPurchases
4;3;0.4306918779384502;2.990093775350567;NumWebPurchases
4;3;1.0167900547369348;2.9436147692463526;NumCatalogPurchases
4;3;0.8130020297921289;3.023638562081431;NumStorePurchases
4;3;-0.9460608183758589;3.0609086995305512;NumWebVisitsMonth
5;3;-0.3235314268456122;2.961064265630775;NumDealsPurchases
5;3;0.29343089955623847;2.9540050876202075;NumWebPurchases
5;3;0.8570256871483998;2.996888115549654;NumCatalogPurchases
5;3;0.7311748206205131;3.0223262205708723;NumStorePurchases
5;3;-0.06176620396329995;3.006045581523411;NumWebVisitsMonth
6;3;-0.6622376272143382;2.9744896057800925;NumDealsPurchases
6;3;0.513974334350944;2.982822058921882;NumWebPurchases
6;3;1.1664920286282212;3.0147548489170486;NumCatalogPurchases
6;3;0.7517382336597151;3.034165144525018;NumStorePurchases
6;3;-1.0322458772424634;3.0684490422998647;NumWebVisitsMonth
1;5;-0.014606608251503674;4.977062747696405;Married
2;5;-0.05347700318483946;5.0153495024824055;Married
3;5;0.06279689558634388;4.976317847767298;Married
4;5;-0.09228597795199986;4.992255823659965;Married
5;5;-0.023629373500277932;4.9772060182849325;Married
6;5;0.09550862722033217;5.018176729372404;Married
