;Year_Birth;Z_CostContact;Z_Revenue
0;1972.1376518218624;3.0;11.0
1;1965.095238095238;3.0;11.0
2;1963.8898450946645;3.0;11.0
3;1968.2718676122931;3.0;11.0
4;1968.1333333333334;3.0;11.0
5;1968.238578680203;3.0;11.0
