klusteri,TALO,TERV,KOUL,TOIM,YHTK,SOSS,YMPÄ,TURV,osuus
1,-0.4126439603285283,0.1261118066540402,-0.03465597939987484,-0.38853029698199,0.0,-0.014606608251503674,0.0,0.0,0.44107142857142856
2,-0.24179730043171757,0.17393233024970595,-0.27928358286596505,-0.06804858671207573,0.0,-0.05347700318483946,0.0,0.0,0.009375
3,-0.09576259884708054,-0.2957017769788966,0.14935033531538275,0.4598291494182333,0.0,0.06279689558634388,0.0,0.0,0.259375
4,0.6420320044077475,0.30701361243781466,-0.10881779782458939,0.18934279961251704,0.0,-0.09228597795199986,0.0,0.0,0.1888392857142857
5,0.528878873079786,-0.9255842774125888,-0.012220519634476531,0.29926675530324787,0.0,-0.023629373500277932,0.0,0.0,0.013392857142857142
6,0.9185895532331733,-0.29719564072849997,-0.0013753190971571723,0.14754421843641574,0.0,0.09550862722033217,0.0,0.0,0.08794642857142858
